GEOID,intersects_leveedarea
06071004902,1
06071007112,0
06071007111,0
06071004901,1
06071004511,1
06071005501,0
06071005502,0
06071003201,0
06071003202,0
06071002707,0
06071002309,0
06071002608,0
06071002609,0
06071002043,0
06071002045,0
06071002313,0
06071000308,0
06071000306,0
06071001908,1
06071006304,0
06071009132,0
06071006101,1
06071001910,1
06071012201,0
06071001911,0
06071002112,0
06071002111,0
06071012202,1
06071000119,1
06071006102,1
06071009128,0
06071009127,0
06071005101,1
06071011602,1
06071009126,0
06071009134,1
06065040604,0
06065040605,0
06067008122,0
06071010031,0
06071009718,1
06071009131,0
06071009137,0
06071009135,0
06071009136,0
06071009138,0
06071009139,0
06071009125,0
06071009124,0
06071008715,1
06071008716,1
06071008713,1
06071008712,0
06071008501,0
06085512023,0
06071008502,1
06071008406,1
06071008201,0
06071010041,0
06071010042,0
06071009120,1
06071010434,1
06071010433,1
06071008202,0
06071008003,1
06071007605,0
06071007606,1
06071002406,0
06071002403,0
06071002404,1
06067008129,0
06067008130,0
06071007002,1
06071007001,1
06071002709,0
06071010029,0
06071010028,0
06071010035,0
06071009721,0
06071010033,0
06071009800,1
06071009121,1
06071002044,0
06071002041,1
06071000122,0
06071010425,1
06071002040,1
06071002314,1
06071002708,0
06071010038,0
06071002308,0
06071002311,0
06071002310,0
06071002312,1
06071010034,0
06071002315,0
06071010426,1
06071010436,0
06071010427,0
06071010428,1
06071010905,0
06071010906,0
06071012105,0
06071012106,0
06071010435,0
06071010431,0
06071011406,0
06071000121,0
06071010432,1
06071010429,0
06071010430,0
06071011407,0
06071008711,1
06071007308,0
06071011405,0
06071011004,0
06071011003,0
06071010903,0
06071007906,0
06071010904,0
06071010805,1
06071010806,0
06071010032,0
06071004512,1
06071009719,0
06037221500,0
06037221710,0
06037221900,0
06037222100,0
06037222200,0
06037222500,0
06037222700,0
06071010019,0
06071000401,0
06071005800,0
06071008708,0
06037224010,0
06037224020,0
06037234600,0
06037234700,0
06037235100,0
06037265100,0
06037265301,0
06037265303,0
06037265304,0
06037265410,0
06071010014,0
06071011900,1
06067009105,1
06067009404,1
06017030402,0
06017031405,0
06017031406,0
06113010902,0
06003010000,0
06113011001,0
06037237720,0
06037237800,0
06037238000,0
06037238100,0
06037238200,0
06037238310,0
06037238320,0
06037238400,0
06037239320,0
06037211000,0
06037211310,0
06037211410,0
06037211500,0
06037211701,0
06037211910,0
06037212202,0
06037212204,0
06037212304,0
06037212306,0
06037212420,0
06037212610,0
06037212620,0
06065040702,0
06037212800,0
06037212900,0
06037213100,0
06065045207,1
06067008124,0
06067008125,0
06067008127,0
06113011002,0
06113011101,0
06113011103,1
06065041001,0
06037224200,0
06037224320,0
06037224420,0
06113010201,1
06113011203,0
06113011204,0
06037224600,0
06037265420,0
06037267800,0
06037267600,0
06037267700,0
06099002904,0
06015990000,0
06037235201,0
06037235202,0
06065042210,0
06065042402,0
06105000102,1
06105000101,1
06065042403,0
06065042404,0
06037269800,0
06113010203,1
06113010204,1
06065042708,0
06065044907,1
06065045704,0
06113010509,1
06065031001,0
06065031002,0
06065040703,1
06067008128,0
06065041002,0
06067008131,0
06081600800,0
06081600900,0
06113010510,1
06095250300,0
06067008132,0
06067008133,0
06067008134,0
06037226410,0
06037227020,0
06037228100,0
06037228210,0
06037228220,0
06037228310,0
06037228320,0
06037228420,0
06037228710,0
06037228720,0
06037269000,0
06037269100,0
06037269300,0
06037269500,0
06037269700,0
06037228800,0
06037228900,0
06037229100,0
06067009609,1
06067009610,1
06113010602,1
06067002600,1
06037237710,0
06037239330,0
06037240700,0
06037240800,0
06037241110,0
06037241120,0
06065042520,0
06065042709,0
06037241400,0
06065042711,0
06065042714,0
06065045209,1
06067008135,0
06081601000,0
06067008136,0
06067008138,0
06067008139,0
06067008141,0
06067008142,0
06067008143,0
06067008144,0
06037262302,0
06037229200,0
06037229300,0
06037229410,0
06037229420,0
06037231100,0
06037231210,0
06037231220,0
06037231400,0
06037231710,0
06065043003,0
06065043211,0
06065043220,0
06065043304,1
06065043306,0
06065043307,0
06099003610,0
06099003611,0
06099003501,0
06099003502,0
06099000405,0
06099000913,0
06099002506,0
06065044805,1
06001406601,0
06001405402,0
06099000511,0
06099003003,0
06099003608,0
06037240010,0
06037240200,0
06065045302,1
06065045501,1
06099000915,0
06099003612,0
06099000205,0
06099002304,0
06099003609,0
06099000914,0
06099000406,0
06099002505,0
06099002303,0
06037240500,0
06099003607,1
06099000407,1
06099003203,0
06099003205,0
06099003206,0
06099000512,0
06099003204,0
06099003004,0
06099000514,0
06037270200,0
06037270300,0
06037271100,0
06037271200,0
06037271300,0
06037271400,0
06029005900,0
06113010605,1
06099000513,0
06099000204,0
06099002903,0
06113010607,1
06081601700,0
06081601800,0
06065042406,0
06065042405,0
06113010701,1
06113010703,0
06113010704,0
06065043308,0
06065043309,0
06065043310,0
06065043311,1
06065043312,0
06065043313,0
06065044806,1
06001437102,0
06001435601,0
06067008145,0
06067008203,0
06067008204,0
06065044911,0
06067008510,0
06113010800,1
06113010901,1
06067008206,0
06067008208,0
06067008209,0
06037231800,0
06037232110,0
06065044916,1
06065045502,1
06067007301,0
06067009637,1
06067988300,0
06067007101,1
06067007105,1
06067003203,1
06067009326,0
06067009330,0
06071009709,0
06071010012,1
06037232200,0
06067009611,1
06067009614,1
06067009616,1
06071010010,0
06071010011,0
06071010016,0
06037242700,0
06037242100,0
06005000201,0
06005000202,0
06037243100,0
06037261200,0
06065041809,0
06065041810,0
06065041812,0
06065041813,0
06065042407,0
06065042408,0
06065042409,0
06065042410,0
06065042411,0
06001437701,0
06065043314,0
06065043315,0
06065043401,0
06065043403,0
06065043404,0
06053011202,0
06053013400,0
06053010101,1
06065045703,1
06053000104,0
06037311801,0
06053001300,0
06067008210,0
06067008211,0
06067008402,0
06067008403,0
06067008404,0
06067009612,0
06067009800,1
06019000200,0
06067009112,1
06067009308,0
06065041905,0
06053001400,0
06067009617,1
06067009618,1
06081611400,0
06081609603,0
06037534403,1
06065041906,0
06065042010,0
06065042505,0
06103000100,1
06103000300,0
06103000400,0
06103000800,1
06081602300,1
06081609602,0
06081613000,0
06081603000,0
06081604500,0
06081607600,0
06081611100,0
06081607000,0
06081604900,0
06081610302,1
06081613400,0
06081602900,0
06081602800,0
06081603200,0
06065042507,1
06065042508,0
06065042510,0
06065043405,0
06065043503,0
06065043506,0
06037531602,0
06037219700,0
06037221820,0
06037242000,0
06037264000,0
06053000200,0
06053000300,0
06053000400,0
06103000600,1
06077004308,0
06077004403,0
06083000900,0
06083001101,0
06083001102,0
06077005130,1
06077005208,0
06113010608,1
06065045706,1
06053000800,0
06083000501,0
06083002010,0
06083002809,0
06083002808,0
06077002401,1
06083000103,0
06083000502,0
06077004106,1
06083002907,0
06077004307,0
06083002006,1
06077004703,1
06077004704,1
06083002005,0
06083000600,0
06083001800,0
06083000700,0
06083001500,0
06077002503,1
06083001203,0
06065031100,0
06065044702,1
06065040806,0
06081613501,0
06081609700,0
06081609500,0
06081604700,0
06081600300,0
06081609601,0
06081603300,0
06081608001,1
06081605000,0
06065041201,0
06065041202,0
06053000900,0
06081608900,0
06081602700,0
06081604200,0
06065041203,0
06065041403,0
06065041404,0
06067008501,0
06067008504,0
06065043702,1
06065043703,1
06077004105,1
06077005131,0
06077005132,0
06077005133,0
06077005134,0
06065043807,0
06065043900,0
06077005308,0
06077004404,1
06019004409,0
06019004214,0
06083002303,1
06083002708,0
06083001601,0
06081601400,0
06017030706,0
06017030710,0
06017031900,0
06061022300,0
06067008512,0
06013302006,1
06013302005,0
06013313204,0
06083002906,1
06083002909,0
06083002913,0
06083002914,0
06077004502,0
06083000101,0
06065046101,0
06065046102,0
06077005405,0
06077005406,0
06077002402,1
06077003217,1
06077002504,1
06019005608,0
06019005518,0
06019005520,0
06019005525,1
06019005522,0
06019005524,0
06001450743,0
06001451404,0
06083003001,1
06083003004,0
06065031200,0
06065031300,0
06065040809,0
06001403501,0
06065031401,0
06065031402,0
06065031501,0
06079010504,0
06079010602,1
06019003004,0
06019004213,0
06013313206,0
06065041405,0
06065041406,0
06065041407,0
06065041408,0
06065041410,0
06013338101,0
06013338102,0
06083000102,0
06083002924,0
06083002926,0
06083002932,0
06083003007,0
06077005502,0
06077003313,1
06001406500,0
06083002008,0
06083002009,0
06083002011,0
06083002012,0
06067008907,0
06067008908,0
06067008909,1
06067008702,0
06065042512,0
06077003216,1
06019005911,0
06019005907,0
06019006202,0
06095250105,0
06083003005,0
06083001905,0
06083002205,1
06065044000,0
06065044101,0
06065044102,0
06095250605,0
06095250604,0
06095250103,0
06095252311,0
06065044103,0
06083002101,1
06083002102,1
06019005516,0
06019006502,0
06083002103,1
06083002013,0
06013368002,0
06065046103,0
06047002500,1
06077003312,1
06077003409,1
06077004501,1
06083002206,1
06083002209,1
06083002210,1
06083002304,1
06077005135,1
06019006501,0
06007001702,0
06007001800,0
06007002000,0
06007002300,0
06007003200,0
06007001500,1
06007003400,1
06007002200,1
06007003600,1
06007002700,0
06065045103,1
06065046404,0
06033000802,0
06095252310,0
06095252313,0
06095252312,0
06095252611,0
06095252911,0
06081601501,0
06081601502,0
06081601603,0
06065041411,0
06065041412,0
06065041702,0
06065041704,0
06065041803,0
06037267502,0
06067009316,0
06067009317,0
06067009318,1
06067009319,1
06067009309,0
06067009310,0
06067009311,0
06067009320,1
06073007702,0
06073020308,0
06067009321,0
06019006603,0
06019008501,0
06019002903,0
06081609800,0
06065044200,1
06065044509,1
06065044602,1
06065044604,1
06065044701,1
06065042621,0
06095253403,0
06095252802,0
06095252912,0
06095252913,0
06095253404,0
06095252315,0
06083002703,0
06019004208,0
06019004210,0
06019003003,0
06081601604,0
06081601605,0
06019000100,0
06065046200,0
06073017801,0
06037503000,0
06019003103,0
06019001413,0
06019005607,0
06019005409,0
06019005203,0
06065045109,1
06095252914,0
06083002705,0
06083002706,0
06083002707,0
06037463800,0
06037463900,0
06037464000,0
06037464200,0
06073012303,1
06073004200,0
06019001202,0
06037271500,0
06037272301,1
06037272302,0
06037273100,0
06037273200,0
06037273300,0
06037273600,0
06073002904,0
06083000400,0
06083000801,0
06083002802,0
06083002806,0
06081608800,0
06081609400,0
06081613800,1
06081600200,0
06019003701,0
06019001301,0
06037480803,0
06037503201,0
06037503202,0
06019002702,0
06007002100,0
06037501400,0
06037501503,0
06037501504,0
06037501802,0
06073002502,0
06073017052,0
06073017055,0
06073017056,0
06007002500,0
06007000603,1
06007003300,1
06007001900,0
06007001400,1
06075030900,0
06075031100,0
06075031000,0
06075032700,0
06073020213,0
06073020214,0
06073000202,0
06073002712,0
06073003305,0
06037310701,0
06053010603,0
06053013300,0
06053013500,0
06053013700,0
06053013800,0
06053000101,0
06053000103,0
06083000302,0
06053010604,0
06053010605,0
06053010900,0
06053013900,0
06053014000,0
06039000104,0
06039000509,0
06111004000,0
06111004101,0
06053011302,0
06053012000,0
06053012100,0
06111004200,0
06111004503,0
06111004504,0
06085504505,1
06029000400,1
06029000504,0
06029000506,0
06029000507,1
06085503903,0
06013386000,0
06013354001,0
06013318000,0
06013314200,0
06013357000,0
06071008403,0
06013337100,0
06013363000,0
06013321101,0
06013320001,1
06013307205,0
06013355302,0
06053012200,0
06013307101,0
06111003615,0
06111005803,0
06111008307,0
06111007515,0
06111001511,0
06111008308,0
06111003617,0
06111003101,0
06111008502,0
06111003902,0
06111001509,0
06111009600,0
06073002902,0
06073002903,0
06013341000,0
06013385100,0
06013392000,0
06013351200,0
06071000115,1
06071002031,0
06029000800,0
06029000903,0
06029000904,0
06071008100,0
06053014102,0
06071011203,0
06053014301,0
06013365002,1
06013307201,0
06073019903,0
06035040303,0
06053014302,1
06013308001,0
06065042624,0
06013307202,0
06065042730,0
06065042731,0
06065042733,0
06065042737,0
06065042745,0
06065043007,0
06065043246,0
06065043254,0
06065043265,0
06065043267,0
06065043272,0
06065041913,0
06065043008,0
06065043813,1
06065044516,0
06029000905,0
06029000906,0
06085508102,0
06053012302,0
06053012401,0
06053012402,0
06029000907,0
06029000908,0
06029000909,0
06111007516,0
06111004507,0
06111001901,0
06111004508,0
06111002302,1
06111002301,1
06111005804,0
06111001510,0
06111005307,0
06111001801,0
06111003301,0
06111005006,1
06111009400,0
06111008501,0
06111001303,1
06111009500,1
06111009700,1
06111005602,1
06111001508,0
06111001304,0
06111003102,0
06111009200,1
06111003618,0
06111008601,0
06111003613,0
06111003614,0
06111003302,0
06111005601,0
06111008602,0
06111006101,0
06111006102,0
06111005308,1
06111009300,1
06111005005,0
06111003616,1
06111003901,0
06085506606,1
06053014105,0
06085504506,1
06085504507,1
06085506701,1
06053010400,1
06029001201,0
06029001202,0
06029001500,0
06095250801,0
06095252915,0
06095252314,0
06085508203,0
06029001600,1
06013308002,0
06085506702,0
06053012700,0
06053012800,0
06085506703,0
06013343002,0
06013348000,0
06013352101,0
06013359202,0
06085504805,1
06103001101,0
06103000701,0
06103000702,0
06103000202,0
06103001102,0
06103000201,0
06025010102,1
06025010101,0
06025012001,0
06085504806,1
06085505007,1
06085505203,0
06029000902,0
06029006002,0
06037310100,0
06085508204,0
06085508505,0
06043000200,0
06043000400,1
06057001205,0
06029002820,0
06029001700,1
06037300200,0
06037300400,1
06085504802,1
06085505301,0
06085505302,0
06085505304,0
06085505305,0
06085505401,0
06037300701,1
06037300902,0
06085505402,0
06013384000,0
06013305000,1
06029001801,1
06029001901,1
06029001902,0
06029002100,0
06085508601,0
06029002302,0
06037320300,0
06085505403,0
06085505500,0
06085505600,0
06085505800,0
06085506803,0
06085507806,0
06085507807,0
06029006202,0
06029003103,0
06029001101,0
06029003807,0
06085508301,0
06085508303,0
06053010504,0
06029002600,0
06085506000,0
06085506101,0
06085506102,0
06085507808,0
06053001500,0
06053001700,0
06029003124,0
06029003806,0
06111004704,1
06029005600,0
06029004500,1
06029006004,0
06029005700,0
06029005104,0
06029000505,0
06001410000,0
06029003810,0
06029003303,0
06029003900,0
06029003808,0
06085506103,0
06085506203,0
06085506204,0
06085506301,0
06001430200,0
06001407900,0
06001436601,0
06029003811,0
06029003812,1
06029004101,0
06037301400,0
06037301501,0
06037301502,0
06037301601,1
06037301701,0
06037301602,1
06037301702,0
06001401400,0
06029004102,0
06037302002,0
06113010401,1
06029002804,0
06073017022,0
06073009901,0
06073017045,0
06073013503,0
06073020017,0
06073015403,0
06073010103,1
06073018504,0
06073020801,0
06073018608,1
06073005900,0
06073020500,0
06073019001,0
06073009505,0
06001400500,0
